DMSO,Nutlin
KIF4CP_hg38,TMEM214_hg38
SPATA31A6_hg38,ONECUT3_hg38
OR2V1_hg38,PRPF19_hg38
ENSG00000233577_hg38,STARD7_hg38
ODF4_hg38,ZC3H3_hg38
DHRS7C_hg38,FOCAD_hg38
ENSG00000233626_hg38,COX11_hg38
CASC6_hg38,BRMS1L_hg38
SH2D1A_hg38,BRD7_hg38
ENSG00000233820_hg38,HUS1_hg38
ENSG00000233839_hg38,NDRG1_hg38
ASCL2_hg38,ZC3HAV1_hg38
ENSG00000233919_hg38,RAE1_hg38
HMGN3P1_hg38,C19orf48_hg38
LINC01360_hg38,CERS4_hg38
KDM3AP1_hg38,RPS6KB1_hg38
ZNF716_hg38,SAAL1_hg38
LINC01673_hg38,GNAI3_hg38
BATF_hg38,GALK2_hg38
COX6CP13_hg38,ISG20L2_hg38
CELF2-AS1_hg38,NSUN3_hg38
FDX1P1_hg38,SYNRG_hg38
FCRL6_hg38,ABHD17B_hg38
KRT8P30_hg38,GPR89A_hg38
ENSG00000224876_hg38,PBX2_hg38
RPL36P4_hg38,HIPK3_hg38
AQP7P4_hg38,LCORL_hg38
ENSG00000235615_hg38,PARVA_hg38
RPL36P3_hg38,ZBTB37_hg38
LINC01621_hg38,PDCD7_hg38
ENSG00000237464_hg38,TNFRSF21_hg38
PTP4A1P7_hg38,PFAS_hg38
FNDC3CP_hg38,COX16_hg38
ENSG00000237747_hg38,KIN_hg38
LINC01370_hg38,DGKZ_hg38
TUBB8P2_hg38,COX20_hg38
HLA-DQB1-AS1_hg38,PROS1_hg38
ENSG00000237954_hg38,ACAD10_hg38
DDX39BP2_hg38,TENT4A_hg38
ENSG00000238034_hg38,ATP2B4_hg38
LLCFC1_hg38,ZCCHC2_hg38
CTRB2_hg38,TBC1D15_hg38
PPDPFL_hg38,FAM133B_hg38
ENSG00000166104_hg38,PER2_hg38
MTND3P23_hg38,FAM171B_hg38
CCDC182_hg38,USB1_hg38
RPL21P6_hg38,DPP8_hg38
RPL6P7_hg38,WWP2_hg38
NGF_hg38,SRP54-AS1_hg38
RPL7AP67_hg38,PPM1G_hg38
RN7SL255P_hg38,ENSG00000271204_hg38
ENSG00000219404_hg38,WBP11_hg38
RN7SL792P_hg38,POM121_hg38
ZNF736P9Y_hg38,RPRD1B_hg38
RN7SL51P_hg38,CLUAP1_hg38
LINC01853_hg38,RAF1_hg38
PRSS56_hg38,STX2_hg38
ELMO1-AS1_hg38,GRAMD2B_hg38
ENSG00000224366_hg38,PABIR2_hg38
FAM220BP_hg38,MTMR10_hg38
ENSG00000224413_hg38,CCNA2_hg38
MTATP6P17_hg38,MAU2_hg38
TRGV2_hg38,NBPF3_hg38
ENSG00000235775_hg38,MFSD6_hg38
PDZK1IP1_hg38,CARS2_hg38
LINC01936_hg38,SCAMP1_hg38
LINC01920_hg38,NCOA1_hg38
ENSG00000236145_hg38,CAMTA2_hg38
ENSG00000236182_hg38,HDAC4_hg38
NF1P5_hg38,BBS1_hg38
INSL4_hg38,LRPAP1_hg38
ENSG00000237293_hg38,LINC01283_hg38
ENSG00000236543_hg38,GEMIN2P1_hg38
YWHAQP5_hg38,SPATA19_hg38
ENSG00000224277_hg38,SIRPG-AS1_hg38
ENSG00000236867_hg38,TMEM174_hg38
IL24_hg38,EDNRB_hg38
ENSG00000217139_hg38,BEX4_hg38
PIGR_hg38,KDM4E_hg38
PCDHB1_hg38,RN7SL477P_hg38
ENSG00000218472_hg38,ENSG00000244593_hg38
RPL12P27_hg38,ENSG00000240535_hg38
ENSG00000237265_hg38,XIRP1_hg38
LILRA4_hg38,MRPL53P1_hg38
ENSG00000233256_hg38,MS4A14_hg38
RPS4XP21_hg38,RPL12P31_hg38
LINC01523_hg38,MIR600HG_hg38
HNRNPA1P21_hg38,RPL38P5_hg38
LINC02716_hg38,EPPIN_hg38
LINC02898_hg38,KIF3AP1_hg38
ENSG00000228426_hg38,KLHL6-AS1_hg38
C6orf15_hg38,GRM8-AS1_hg38
FAF2P1_hg38,SOHLH1_hg38
RPL7L1P8_hg38,CCDC105_hg38
UGT1A12P_hg38,RFPL1_hg38
CYP26C1-DT_hg38,CYP11B1_hg38
SNX18P4_hg38,ENSG00000236536_hg38
ENSG00000229271_hg38,ENSG00000236775_hg38
ENSG00000229339_hg38,LINC01077_hg38
LINC01739_hg38,TCERG1L-AS1_hg38
ENSG00000230287_hg38,HMGA1P5_hg38
RGS8_hg38,ENSG00000226621_hg38
LINC00951_hg38,RPL37AP1_hg38
LINC00474_hg38,ENSG00000184188_hg38
PBX3-DT_hg38,ENSG00000225925_hg38
ENSG00000229646_hg38,RPL15P4_hg38
SLC9B1P2_hg38,IFNWP4_hg38
LIPN_hg38,ENSG00000224579_hg38
DPY19L4P1_hg38,ENSG00000224194_hg38
CCNB1IP1P1_hg38,ENSG00000291239_hg38
ENSG00000203498_hg38,OR2A5_hg38
DLEC1P1_hg38,ZNF402P_hg38
SHISA5P2_hg38,FTH1P8_hg38
ENSG00000228153_hg38,TMEM202_hg38
KRT17P7_hg38,SEC14L6_hg38
HOXD13_hg38,AZGP1P1_hg38
ENSG00000226576_hg38,RPL21P75_hg38
ENSG00000227062_hg38,TMEM26_hg38
RPSAP61_hg38,MIR320A_hg38
SDHDP2_hg38,LINC01531_hg38
RBMY2JP_hg38,RNU6-485P_hg38
RPL21P18_hg38,U3_hg38-7
RPL7AP34_hg38,AIF1_hg38
IL6_hg38,C8orf90_hg38
NXNP1_hg38,ENSG00000226971_hg38
ENSG00000227365_hg38,ENSG00000232939_hg38
MINDY4B_hg38,PFN1P6_hg38
LINC01624_hg38,C8A_hg38
ENSG00000214243_hg38,ATP5MGP2_hg38
ENSG00000227683_hg38,ENSG00000232359_hg38
GSTM3P1_hg38,ENSG00000232245_hg38
ENSG00000227705_hg38,LINC01104_hg38
CYCSP5_hg38,ENSG00000231756_hg38
MIR219A2HG_hg38,EIF4A1P11_hg38
ENSG00000227834_hg38,PTCHD3P2_hg38
RNU6-15P_hg38,CTNNBL1P1_hg38
ENSG00000227948_hg38,OR2AJ1_hg38
FAM99B_hg38,ENSG00000230721_hg38
BUB3P1_hg38,MRPL35P4_hg38
MTND5P1_hg38,ENSG00000230680_hg38
CFL1P3_hg38,ENSG00000203520_hg38
HLA-U_hg38,RNASE10_hg38
ENSG00000230285_hg38,OOSP2_hg38
ANAPC1P3_hg38,LINC01672_hg38
XXYLT1-AS1_hg38,ENSG00000228538_hg38
LINC01678_hg38,TREML3P_hg38
LINC00269_hg38,LINC01649_hg38
SLC17A4_hg38,RPL37P1_hg38
LINC01873_hg38,H3P13_hg38
HOXC12_hg38,RN7SKP297_hg38
ENSG00000232271_hg38,RNU11_hg38
H2BC1_hg38,ENSG00000255899_hg38
ENSG00000232327_hg38,ENSG00000248648_hg38
THUMPD1P1_hg38,ENSG00000260171_hg38
FAM230G_hg38,PDE3A-AS1_hg38
LRRK2-DT_hg38,ENSG00000270497_hg38
TMEM72_hg38,CHEK2P2_hg38
HMGN2P11_hg38,ENSG00000251017_hg38
LINC00237_hg38,IGBP1P4_hg38
LINC01747_hg38,ENSG00000286117_hg38
HNRNPDP1_hg38,ENSG00000286159_hg38
KRT26_hg38,ENSG00000270212_hg38
KAT7P1_hg38,ENSG00000270204_hg38
ZNF705G_hg38,ENSG00000250024_hg38
LINC00363_hg38,RN7SL405P_hg38
RPL18AP2_hg38,ENSG00000260741_hg38
FAM230B_hg38,ENSG00000286639_hg38
HMGN2P20_hg38,ENSG00000272027_hg38
ATP4B_hg38,ENSG00000260608_hg38
LINC02634_hg38,TSIX_hg38
PGAM1P4_hg38,RN7SL353P_hg38
SLC28A3-AS1_hg38,LINC02174_hg38
ENSG00000231978_hg38,ENSG00000258202_hg38
OR11H13P_hg38,ENSG00000279815_hg38
AKAIN1_hg38,LINC01238_hg38-1
NR0B2_hg38,ENSG00000279262_hg38
ENSG00000202434_hg38,RPL6P32_hg38
ENSG00000214651_hg38,ENSG00000258503_hg38
ENSG00000225916_hg38,Metazoa_SRP_hg38-165
RBP4_hg38,LINC02498_hg38
SNORA63E_hg38,ENSG00000271222_hg38
IMPDH1P3_hg38,ENSG00000262343_hg38
LINC00692_hg38,ENSG00000249166_hg38
EI24P3_hg38,HISLA_hg38
PDE6H_hg38,ENSG00000258050_hg38
RPL36AP39_hg38,ENSG00000250038_hg38
RPL22P24_hg38,ENSG00000271025_hg38
SLAIN1_hg38,LDHBP3_hg38
FDPSP7_hg38,RPS3AP4_hg38
PTPRD-AS1_hg38,ENSG00000286906_hg38
RTP2_hg38,ENSG00000277866_hg38
ZIM3_hg38,ENSG00000286957_hg38
COX11P1_hg38,LINC02740_hg38
